celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score
Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,14,Eliminated Week 8,5,7,6,7,N/A,7,6,7,N/A,8,8,8,N/A,7,8,7,N/A,7,7,7,N/A,10,10,10,N/A,8,7.5,8,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,14,Eliminated Week 2,12,7,6,7,N/A,6,5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,14,1st Place,1,7,7,7,N/A,8,8,8,N/A,9,8,9,N/A,9,9,9,N/A,10,8,9,N/A,11.3333,11.3333,11.3333,N/A,9,8.5,9,N/A,9.5,9,9,N/A,9.5,9,10,N/A,10,9.6666,10,N/A,N/A,N/A,N/A,N/A
Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,14,Eliminated Week 5,9,7,6,7,N/A,7,7,7,N/A,8,8,8,N/A,8,8,7,N/A,6,6,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,14,Eliminated Week 6,8,8,7,8,N/A,7,5,7,N/A,8,8,8,N/A,7,6,7,N/A,7,7,8,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,14,2nd Place,2,9,8,9,N/A,9,8,9,N/A,10,9,10,N/A,8,8,8,N/A,10,9,10,N/A,13.3333,12.3333,13.3333,N/A,9.5,8.5,9,N/A,9,9,9.5,N/A,9.5,9,9.5,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A
Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,14,Eliminated Week 9,4,7,7,7,N/A,8,8,9,N/A,9,9,9,N/A,9,8,9,N/A,9,9,9,N/A,9.3333,10.3333,10.3333,N/A,10,9,9.5,N/A,9.5,7.5,9.5,N/A,10,9.5,10,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,15,Eliminated Week 8,6,8,8,8,N/A,8.5,8.5,8.5,N/A,8.5,8.5,8.5,N/A,10,9.5,10,10,9.5,9.25,9.5,N/A,9,9,9.5,N/A,11.1666,11.1666,11.1666,N/A,9.5,10,9.7777,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,15,Eliminated Week 6,8,7.5,7.5,7.5,N/A,9,8.5,8.5,N/A,8.5,8.5,8.5,N/A,9,9,8.5,9,9.75,9.75,9.75,N/A,10,10,10,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,15,Eliminated Week 8,7,6.5,6,6.5,N/A,7,7,7,N/A,8,8,8,N/A,7.5,7.5,7.5,7.5,8.75,8.75,8.75,N/A,9.5,8.5,9.5,N/A,9.3333,9.3333,9.3333,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,15,3rd Place,3,7,7,7.5,N/A,7.5,7,7.5,N/A,9,9,9,N/A,9,9.5,9.5,9.5,8.5,8.5,8.75,N/A,9,9,9,N/A,12,12,12,N/A,9.5,9.3333,9.5,N/A,8.7777,9.3333,9,N/A,9.6666,9.6666,9.7777,N/A,N/A,N/A,N/A,N/A
Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,15,Eliminated Week 9,5,7.5,7,7.5,N/A,8.5,8,8,N/A,9,8,8.5,N/A,8.5,9,8.5,8.5,9,9.75,9.5,N/A,10,10,10,N/A,11,11,11,N/A,9.7777,9.5,10,N/A,9.3333,9.5,9.7777,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,15,Eliminated Week 9,4,8,8.5,8,N/A,7.5,7.5,7.5,N/A,8.5,8,8.5,N/A,9,9,9,9,9.25,9.25,9.5,N/A,8.5,8.5,9.5,N/A,10.8333,11.8333,11.8333,N/A,9.5,9.7777,9.7777,N/A,9,9,9,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,15,2nd Place,2,8,6.5,7.5,N/A,8.5,8,8.5,N/A,9,8,9.5,N/A,10,9.5,10,10,9.25,9,10,N/A,9.5,8.5,10,N/A,12.6666,12.6666,12.6666,N/A,10,8.3333,9.5,N/A,9.5,10,10,N/A,9.6666,9.5,9.7777,N/A,N/A,N/A,N/A,N/A
Pamela Anderson,Tristan MacManus,Model,,Canada,45,15,Eliminated Week 1,13,5.5,5.5,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,15,Eliminated Week 3,10,7,7.5,7,N/A,8,7.5,7.5,N/A,8.5,8.5,8.5,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,15,Eliminated Week 2,12,6.5,7,7,N/A,7.5,7.5,7.5,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,15,Eliminated Week 3,11,7,7,7.5,N/A,7.5,7.5,7.5,N/A,8,8,8,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,15,Eliminated Week 4,9,6.5,6.5,6.5,N/A,6,6,6,N/A,7.5,7.5,7.5,N/A,8,8,8,8,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,15,1st Place,1,7,7,7,N/A,8,8,7.5,N/A,9,9,9,N/A,9,9,9.5,9.5,9.25,9.5,9.5,N/A,9.5,10,10,N/A,13.3333,12.8333,12.8333,N/A,10,10,10,N/A,9.5,9.7777,9.5,N/A,9.7777,9.7777,9.7777,N/A,N/A,N/A,N/A,N/A
Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,16,Eliminated Week 9,5,7,6,7,N/A,6,7,7,N/A,7,7,7,N/A,8,7,8,N/A,7,7,7,N/A,7.5,8,7.5,N/A,8,9,8,N/A,8,8,8,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,16,2nd Place,2,8,8,8,N/A,9,8,9,N/A,8.6666,8.6666,8.6666,N/A,9,8,9,N/A,10,9,10,N/A,8.5,8.5,8.5,N/A,10,10,10,N/A,9.5,10,9.5,N/A,9,9,9.5,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A
Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,16,Withdrew,12,7,7,7,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,16,Eliminated Week 6,8,6,6,6,N/A,6,6,6,N/A,8,7,8,N/A,6,6,6,N/A,7,7,7,N/A,6.5,7,6.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,16,Eliminated Week 10,4,7,7,7,N/A,8,8,8,N/A,7,8,8,N/A,9,9,9,N/A,8,8,9,N/A,8.5,9,8.5,N/A,11,10,11,N/A,9,9.5,9.5,N/A,10,9.5,10,N/A,9.5,9.5,10,N/A,N/A,N/A,N/A,N/A
Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,16,3rd Place,3,7,6,7,N/A,8,7,8,N/A,8.6666,8.6666,8.6666,N/A,8,8,8,N/A,9,8,9,N/A,7.5,7.5,7.5,N/A,9,9,9,N/A,8.5,9,8.5,N/A,10,9.5,10,N/A,9.3333,9.3333,9.3333,N/A,N/A,N/A,N/A,N/A
D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,16,Eliminated Week 5,9,4,4,4,N/A,5,5,6,N/A,6,5,5,N/A,7,7,7,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,16,Eliminated Week 7,7,6,5,6,N/A,7,6,7,N/A,6,6,6,N/A,7,7,7,N/A,6,6,6,N/A,7,7.5,7,N/A,5,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,16,Eliminated Week 3,11,6,6,6,N/A,6,6,6,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,16,1st Place,1,7,7,7,N/A,9,8,9,N/A,8,9,8,N/A,9,8,9,N/A,9,9,9,N/A,8.5,9.5,9,N/A,9,10,10,N/A,9.5,8,10,N/A,9.5,10,9.5,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A
Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,16,Eliminated Week 4,10,6,6,6,N/A,6,6,6,N/A,7,7,7,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,16,Eliminated Week 8,6,7,6,6,N/A,7,6,7,N/A,7,7,7,N/A,6,7,7,N/A,8,8,8,N/A,7.5,8,7.5,N/A,8,8,8,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A
Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,17,Eliminated Week 4,10,7,7,7,N/A,6,6,7,N/A,6,5,5,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A
Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,17,Eliminated Week 8,7,7,8,7,N/A,8,7,8,N/A,9,9,9,N/A,7,7,7,N/A,9,9,9,N/A,10,11,10,N/A,9.5,9.5,9.5,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,8,8,8,N/A,8,9,8,N/A,8,9,8,N/A,9,9,9,N/A,8,9,9,N/A,10.6666,10.6666,10.6666,N/A,9,9,9,N/A,8,9,8,N/A,9.5,9,9.5,N/A,0,0,0,0,0,0,0,N/A
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,8,8,8,N/A,7,7,8,N/A,9.3333,9.3333,9.3333,N/A,9,8.5,9,N/A,9,10,9,N/A,9,9,9,N/A,8,8,8,8.5,0,0,0,N/A
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2nd Place,2,8,8,8,N/A,9,8,9,N/A,9,8,9,N/A,9,9,9,N/A,9,9,10,N/A,9.3333,8.3333,9.3333,N/A,10,9.5,10,N/A,10,10,10,N/A,9.5,9.5,10,N/A,9.5,9,9.5,9.5,9.8888,9.8888,9.8888,N/A
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1st Place,1,9,9,9,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,9,7,10,N/A,11.3333,9.3333,11.3333,N/A,10,10,9.5,N/A,9,9,10,N/A,8.5,8.5,8.5,N/A,10,10,9.5,10,10.4444,10.4444,10.4444,N/A
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,Eliminated Week 2,12,6,5,6,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,Eliminated Week 11,4,6,6,6,N/A,7,7,7,N/A,8,8,8,N/A,7,7,7,N/A,8,8,8,N/A,8.3333,8.3333,7.3333,N/A,8.5,8,8.5,N/A,8,8,8,N/A,7,7,7,N/A,7.5,7.5,7.5,7.5,8.3333,8.8333,8.3333,N/A
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,Eliminated Week 5,9,7,7,8,N/A,9,8,8,N/A,9,8,9,N/A,8,8,8,N/A,9,10,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,Eliminated Week 7,8,8,8,7,N/A,6,7,7,N/A,9,8,8,N/A,8,8,8,N/A,9,9,9,N/A,10,10,10,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3rd Place,3,8,8,7,N/A,8,8,8,N/A,7,7,8,N/A,8,8,8,N/A,9,9,9,N/A,8.6666,9.6666,8.6666,N/A,10,9,9.5,N/A,10,10,10,N/A,9,9,9,N/A,9,8.5,9,9,9.3333,9.3333,9.3333,N/A
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,Eliminated Week 3,11,5,4,5,N/A,6,5,6,N/A,6,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,Withdrew,10,5,5,5,N/A,5,5,5,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,Eliminated Week 8,6,8,8,8,N/A,8,8,8,N/A,9,9,9,9,8,8,8,8,10,9,10,10,9,9,9,9,9,9.5,8.5,9,10,9,9,10,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,Eliminated Week 10,4,7,7,7,N/A,9,8,8,N/A,9,9,9,9,9,8,9,9,10,10,10,10,9,9,8,9,8.5,9.5,8,9,8,9,10,9,9.5,9.5,9.5,9.5,9.5,9.5,10,N/A,N/A,N/A,N/A,N/A
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3rd Place,3,9,8,8,N/A,7,7,7,N/A,8,8,8,8,7,7,7,7,8,9,9,9,8,8,8,8,9,9.5,9,9.5,9,9,9,9,8.5,9.5,9.5,8.5,8.6666,8.6666,8.6666,N/A,N/A,N/A,N/A,N/A
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,Eliminated Week 2,11,7,6,7,N/A,7,7,7,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,Eliminated Week 2,12,6,6,6,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,Eliminated Week 9,5,9,9,9,N/A,9,7,9,N/A,9,9,9,9,7,8,9,9,9,10,9,9,9,9,9,9,8.5,10,8,9,10,10,10,10,9.5,9.5,9.5,9.5,0,0,0,N/A,N/A,N/A,N/A,N/A
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2nd Place,2,8,8,8,N/A,8,8,8,N/A,9,9,9,9,9,8,8,9,9,9,10,9,9,10,9,10,9.5,9.5,9,9.5,10,10,10,10,9.5,9.5,10,10,10,9.6666,10,N/A,N/A,N/A,N/A,N/A
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1st Place,1,8,8,8,N/A,8,9,8,N/A,10,9,10,10,10,9,10,10,9,9,9,9,10,10,10,10,10,10,9,10,9,9,8,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A,N/A
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,Eliminated Week 6,8,7,7,7,N/A,7,7,7,N/A,7,7,8,8,8,8,9,8,7,7,7,7,8,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,Eliminated Week 5,9,7,7,8,N/A,7,7,8,N/A,9,8,9,9,8,7,8,8,9,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,Eliminated Week 7,7,7,7,7,N/A,7,7,7,N/A,8,7,8,8,8,8,8,8,9,9,9,9,8,9,8,8,8,9,7.5,8.5,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,6,6,6,7,8,7,8,8,7,7,7,8,7,7,7,8,8,6,7,7,7,7,7,7,7,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,8,7,7,8,7,7,8,8,8,8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,8,8,8,8,9,8,9,9,7,8,8,8,10,10,10,9,9,8,8,9,8,8,8,8,8.5,8.5,9,9,8,8,8,8,8.5,9,8.5,9,0,0,0,0,0,0,0,0
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,7,7,7,8,9,8,8,9,10,10,10,10,9,9,9,9,8,8,8,9,8,7,9,9,8.5,8,8.5,8.5,10.75,10.75,10.75,10.75,9.5,9.5,10,9.5,9.5,9.5,10,10,9.6666,10,9.6666,9.6666
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,9,9,9,9,8,8,8,8,8,8,8,8,10,10,10,10,8,9,9,8,10,10,9,10,8.5,8.5,8.5,8.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,10,9.5,9,9.5,9.5,10,10,10,10
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,8,7,8,8,7,7,7,7,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,7,6,7,7,7,7,7,7,8,10,8,8,7,7,7,7,6,6,5,6,7,7,7,7,7.5,7.5,7.5,7.5,6.75,7.75,7.75,6.75,7,7.5,7,7,8,7.5,8,7.5,0,0,0,0
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,5,5,5,5,7,7,7,7,7,9,6,7,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,7,6,6,6,6,6,6,6,7,7,7,7,6,6,6,7,5,5,5,5,8,7,8,7,7,7,7,7,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,7,7,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,8,8,8,8,8,9,8,8,10,10,10,10,8,8,8,9,8,8,8,8,9,9,9,9,9.5,9,9.5,9.5,9.75,9.75,9.75,10.75,9,9.5,9.5,9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,8,8,9,9,8,7,8,8,8,8,8,8,9,10,9,9,9,9,9,9,9,10,8,8,7.5,7.5,8,8,9,9,10,10,9,9.5,9,9,9,9.5,9.5,9,10,9.6666,10,9.6666
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,6,6,6,7,8,8,8,8,8,8,8,8,10,9,10,10,8,8,9,9,9.5,8.5,9,9.5,9.5,9.5,9.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,8,7,8,8,8,8,8,8,9,7,9,9,8,8,9,9,10,9,9,10,10,8.5,9.5,10,9,10,9,9,10,9,10,10,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,8,8,8,8,8,8,8,8,8,9,8,8,9,8,9,9,10,9,10,10,9,8.5,8.5,9.5,8.5,9.5,9.5,9.5,10,10,10,10,10,9.5,9.5,10,10,10,10,10,N/A,N/A,N/A,N/A
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,7,7,8,8,9,8,8,9,9,8,9,8,9,8,9,10,9,9,10,10,9.5,8.5,9,9.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,9.5,10,10,10,10,0,0,0,0,N/A,N/A,N/A,N/A
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,6,6,7,7,7,7,7,7,6,6,6,6,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,Eliminated Week 8,6,7,7,7,7,7,7,7,7,7,7,8,7,8,9,8,9,6,6,6,6,8.5,8,8.5,8.5,7,8,8,8,7.5,7.5,8.5,7.5,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,Eliminated Week 3,11,6,5,5,6,7,6,7,6,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3rd Place,3,7,6,6,7,7,6,7,7,7,7,8,8,8,8,8,8,7,7,7,7,8.5,8,8.5,9,10.5,8.5,9.5,9.5,8,7.5,8,8,9.5,9.5,9.5,9.5,9,9,9,9,N/A,N/A,N/A,N/A
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,Eliminated Week 2,12,6,5,5,6,8,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,7,6,6,6,7,7,7,7,6,5,5,6,8,7,7,8,7,6,7,7,9,8,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,Eliminated Week 8,5,7,6,6,7,5,6,5,5,7,7,7,7,7,6,7,7,7,6,7,7,9,8,9,9,8,7,8,8,8,7.5,8.5,8,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,5,5,5,N/A,5.5,5.5,5.5,N/A,6,7,6,6,5,6,5,N/A,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
